Date;Time;Vehicule_No;Vehicule_Etat;Ligne_No;Ligne_Destination;Course_No;Arret_StopID;Arret_Mnemol;Arret_Nom;Horaire;Vehicule_Latitude;Vehicule_Longitude;Vehicule_Cap;Indicateur_Avance;Indicateur_Retard
10/11/2017 00:00:00;17:29:55;2050;LIGN;2;ST-JEAN DE VEDAS;268437066;42245;RONDETWS;RONDELET;17:29:41;1845792;724489;284;00:00:00;00:00:35
10/11/2017 00:00:00;17:29:55;2047;LIGN;4;GARCIA LORCA;268437617;42245;RONDETWS;RONDELET;17:30:43;1846010;724801;135;00:00:00;00:00:23
10/11/2017 00:00:00;17:29:55;2052;LIGN;2;SABINES;268436995;42249;STCLETWS;SAINT-CLEOPHAS;17:29:34;1844885;724485;200;00:00:00;00:01:37
10/11/2017 00:00:00;17:29:55;2097;LIGN;2;ST-JEAN DE VEDAS;268436727;42253;DREVOTWS;MAS DREVON;17:30:50;1844884;724061;272;00:00:00;00:04:13
10/11/2017 00:00:00;17:29:55;2058;TDEP;2;HORS SERVICE;268436964;42260;SABINESR;DEP TIROIR SABI;17:32:00;1843490;723278;334;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2057;LIGN;2;ST-JEAN DE VEDAS;268436620;42267;STJSECS;ST-JEAN LE SEC;17:29:41;1842111;721540;275;00:00:00;00:03:54
10/11/2017 00:00:00;17:29:55;606;HLP;15;SAINT-CLEOPHAS;268439771;5131;GAROSUDA;GAROSUD;17:35:00;1843271;724137;22;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;212;LIGN;15;GAROSUD;268439787;5136;AIGUE05E;AIGUELONGUE;17:30:27;1848483;724884;162;00:00:00;00:04:57
10/11/2017 00:00:00;17:29:55;223;LIGN;6;EUROMEDECINE;268437991;6127;PL8MAIE;PLACE DU 8 MAI;17:30:26;1845429;723742;31;00:00:00;00:00:34
10/11/2017 00:00:00;17:29:55;205;LIGN;6;PAS DU LOUP;268438089;6227;PL8MAIS;PLACE DU 8 MAI;17:29:43;1845387;723700;212;00:00:00;00:00:06
10/11/2017 00:00:00;17:29:55;215;LIGN;9;PLACE DE FRANCE;268438561;9139;GALLOI9S;EVARISTE GALOIS;17:29:36;1846693;727384;179;00:00:54;00:00:00
10/11/2017 00:00:00;17:29:55;158;LIGN;9;GRAMMONT;268438550;9140;MORSES;SAMUEL MORSE;17:31:03;1846398;727346;117;00:00:00;00:07:20
10/11/2017 00:00:00;17:29:55;112;LIGN;15;GAROSUD;268439764;10144;VAUGUIEA;VAUGUIERES;17:29:46;1846002;726962;321;00:00:00;00:01:02
10/11/2017 00:00:00;17:29:55;104;LIGN;15;GAROSUD;268439693;10150;CDGAULLA;CH. DE GAULLE;17:31:39;1848512;726222;329;00:00:00;00:00:13
10/11/2017 00:00:00;17:29:55;605;LIGN;15;PLACE DE FRANCE;268439684;10243;SABINR;SABINES;17:30:20;1843606;723205;325;00:00:00;00:04:45
10/11/2017 00:00:00;17:29:55;151;LIGN;15;PLACE DE FRANCE;268439776;10246;CDGAULLR;CH. DE GAULLE;17:31:42;1848490;725585;76;00:00:00;00:07:17
10/11/2017 00:00:00;17:29:55;118;LIGN;11;TOURNEZY;268438840;15216;FIGUEROE;FIGUEROLLES;17:30:26;1846129;723470;68;00:01:30;00:00:00
10/11/2017 00:00:00;17:29:55;126;HLP;9;GRAMMONT;268438574;9145;APOLLOD;APOLLO;17:37:00;1847950;727092;253;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2089;LIGN;3;LATTES CENTRE;268437313;43105;CELLRT3E;CELLENEUVE;17:31:01;1847086;719913;104;00:00:00;00:00:23
10/11/2017 00:00:00;17:29:55;2088;LIGN;3;PEROLS ETANG;268437106;43113;TONNET3E;TONNELLES;17:30:19;1847075;721488;202;00:00:38;00:00:00
10/11/2017 00:00:00;17:29:55;2074;LIGN;3;LATTES CENTRE;268437287;43115;GUESDT3E;JULES GUESDE;17:30:40;1846871;721603;97;00:00:00;00:04:11
10/11/2017 00:00:00;17:29:55;2077;LIGN;3;PEROLS ETANG;268437550;43123;STDENT3E;SAINT-DENIS;17:29:42;1846136;724181;124;00:00:00;00:00:04
10/11/2017 00:00:00;17:29:55;2072;LIGN;3;JUVIGNAC;268437559;43127;GARETW3A;GARE ST-ROCH T3;17:33:08;1845953;725063;320;00:00:00;00:00:06
10/11/2017 00:00:00;17:29:55;2071;LIGN;3;MOSSON;268437411;43127;GARETW3A;GARE ST-ROCH T3;17:29:46;1846049;724749;313;00:00:00;00:02:46
10/11/2017 00:00:00;17:29:55;2032;LIGN;4;GARCIA LORCA;268437854;43133;SMART4R;SAINT-MARTIN;17:30:02;1844596;724818;150;00:00:00;00:01:42
10/11/2017 00:00:00;17:29:55;2083;LIGN;3;PEROLS ETANG;268437217;43151;ECOPOLES;ECOPOLE;17:30:21;1843201;729128;121;00:00:00;00:04:08
10/11/2017 00:00:00;17:29:55;2076;TDEP;3;JUVIGNAC;268437466;43201;ETGLORT3;PEROLS ETANG OR;17:33:00;1840923;731641;328;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2075;LIGN;3;JUVIGNAC;268437188;43213;PICASSOE;PABLO PICASSO;17:32:31;1843650;728451;303;00:00:00;00:00:31
10/11/2017 00:00:00;17:29:55;2080;LIGN;3;JUVIGNAC;268437389;43235;STDENT3S;SAINT-DENIS T3;17:29:36;1846122;724216;303;00:00:00;00:05:34
10/11/2017 00:00:00;17:29:55;2081;LIGN;3;MOSSON;268437153;43243;GUESDT3S;JULES GUESDE;17:29:46;1846682;722067;341;00:00:00;00:04:46
10/11/2017 00:00:00;17:29:55;2073;LIGN;3;JUVIGNAC;268437362;43253;CELLET3S;CELLENEUVE;17:29:34;1847113;720381;167;00:00:00;00:02:21
